axis,freq,target,model,fold_id,fold_start,fold_end,wape,smape,mase,wape_peak5,smape_peak5,mase_peak5,coverage_empirical
service,weekly,m3_out,ma28,1,2024-11-11,2024-12-30,0.8441737944080401,1.2096729725525603,0.38816389004205293,0.020684964857312315,0.020473220929590034,0.03930551921421557,
service,weekly,m3_out,model_p50,1,2024-11-11,2024-12-30,0.21408990375634013,0.3097840500634502,0.09844177870868792,0.05129612835748189,0.050013381927996745,0.09747277661229002,
service,weekly,m3_out,model_p80,1,2024-11-11,2024-12-30,0.26376154049680783,1.12864431467501,0.12128154922709869,0.09319778252387158,0.0890482335706456,0.17709419653277056,
service,weekly,cajas_out,naive_t7,1,2024-11-11,2024-12-30,1.7849364791288567,0.8028281153290919,0.9595339150906024,2.729847494553377,1.1543067710732382,5.501100132423347,
service,weekly,cajas_out,ma7,1,2024-11-11,2024-12-30,0.9502851957479908,1.3706590067879545,0.5108478004627541,0.2947401182695301,0.25688322256883234,0.5939507268732085,
service,weekly,cajas_out,ma28,1,2024-11-11,2024-12-30,0.8947692507129894,1.3550945276723363,0.481003919343025,0.14721444133208836,0.13712132193071458,0.29666176748788536,
service,weekly,cajas_out,model_p50,1,2024-11-11,2024-12-30,0.22310672479350083,1.045812103880535,0.11993618351541063,0.04222617774373014,0.041353086356362354,0.08509282384500753,
service,weekly,cajas_out,model_p80,1,2024-11-11,2024-12-30,0.33796335718272136,1.1436031452169122,0.1816800245087543,0.2612482367897766,0.23106550845621668,0.5264589735752747,
service,weekly,pales_out,naive_t7,1,2024-11-11,2024-12-30,0.9654867256637168,0.7515014716583919,0.5100769875951172,0.3183673469387755,0.3786407766990291,0.6564143818364295,
service,weekly,pales_out,ma7,1,2024-11-11,2024-12-30,0.5514538558786347,1.2024517685737195,0.2913389838797828,0.16034985422740522,0.1743264659270998,0.3306116392033298,
service,weekly,pales_out,ma28,1,2024-11-11,2024-12-30,0.9077591656131478,1.288909059768166,0.47957889875648674,0.12193877551020409,0.11493147391199808,0.25141512381235037,
service,weekly,pales_out,model_p50,1,2024-11-11,2024-12-30,0.13448231558369084,0.9122262875816678,0.07104844903029492,0.08967812468418854,0.08582960564583747,0.18489964924117125,
service,weekly,pales_out,model_p80,1,2024-11-11,2024-12-30,0.22249958443218545,0.9210750660242096,0.11754891574538781,0.13339304992615159,0.12505248381752163,0.27503171179608893,
service,weekly,peso_facturable_out,naive_t7,1,2024-11-11,2024-12-30,1.1093562595617632,0.5013951726634672,0.47494060735715726,0.5256248045543578,0.7130136293367079,0.9267511164125184,
service,weekly,peso_facturable_out,ma7,1,2024-11-11,2024-12-30,0.5533183913929223,0.3733266924553612,0.2368881687960664,0.18561845309669078,0.20460795957001943,0.32727167200560286,
service,weekly,peso_facturable_out,ma28,1,2024-11-11,2024-12-30,0.9298470573360342,0.47085388332715145,0.39808864136656935,0.09693136556526742,0.09245068022446956,0.17090375201977664,
service,weekly,peso_facturable_out,model_p50,1,2024-11-11,2024-12-30,0.23655106832064893,1.1732917795336282,0.10127288424331325,0.20888724666466055,0.18913346254325358,0.36829785689992384,
service,weekly,peso_facturable_out,model_p80,1,2024-11-11,2024-12-30,0.2901959011839787,1.09085707033679,0.12423945542554811,0.20888724666466055,0.18913346254325358,0.36829785689992384,
service,weekly,m3_in,naive_t7,1,2024-11-11,2024-12-30,1.5703518112537842,0.7483532990382795,0.4807590756990793,1.552703941338222,0.8740970072239421,1.5592517934602272,
service,weekly,m3_in,ma7,1,2024-11-11,2024-12-30,0.9078311186673228,1.1628523878252544,0.277930108637821,0.8613166164724368,0.6020421588536453,0.8649488438950238,
service,weekly,m3_in,ma28,1,2024-11-11,2024-12-30,1.4020789524704333,1.2497360781164515,0.42924278267851396,0.7346164233337696,0.5372720042675668,0.7377143479144468,
service,weekly,m3_in,model_p50,1,2024-11-11,2024-12-30,0.49346318849399046,1.0632210793567458,0.15107245694356802,0.16462739116137975,0.15210690933098914,0.1653216354302693,
service,weekly,m3_in,model_p80,1,2024-11-11,2024-12-30,0.8875493069145697,1.367088349656652,0.27172088532755445,0.40713607659975243,0.33827425093047553,0.40885299555135307,
service,weekly,cajas_in,naive_t7,1,2024-11-11,2024-12-30,1.3748558246828142,0.5561663861242885,0.6441094461495257,0.06030150753768844,0.05853658536585366,0.11671781910092076,
service,weekly,cajas_in,ma7,1,2024-11-11,2024-12-30,0.8444554292305158,0.47323608847698573,0.3956209146112558,0.32663316582914576,0.28077753779697623,0.6322215201299874,
service,weekly,cajas_in,ma28,1,2024-11-11,2024-12-30,0.9222689075630253,1.3442468817585407,0.4320759344990931,0.08722182340272795,0.08357695614789339,0.16882398834240328,
service,weekly,cajas_in,model_p50,1,2024-11-11,2024-12-30,0.23271474291253605,1.0447903038635202,0.1090250784679943,0.2623434194041931,0.3019508254205683,0.5077841834915652,
service,weekly,cajas_in,model_p80,1,2024-11-11,2024-12-30,0.24613079485988343,1.0951537718115825,0.1153103962694538,0.01271272439300907,0.012794047996031307,0.024606374310886327,
service,weekly,pales_in,naive_t7,1,2024-11-11,2024-12-30,2.558659217877095,1.0466169497843891,0.8222758192641098,1.3380281690140845,0.8016877637130801,1.5350345534297247,
service,weekly,pales_in,ma7,1,2024-11-11,2024-12-30,1.3496940675711626,1.3680502530799266,0.4337509221289729,1.3601609657947686,0.8095808383233533,1.5604261024338253,
service,weekly,pales_in,ma28,1,2024-11-11,2024-12-30,1.9709364192604415,1.5292349452469105,0.6333994568489263,0.8856472166331323,0.6138291690877398,1.0160466806034845,
service,weekly,pales_in,model_p50,1,2024-11-11,2024-12-30,0.2452691953492188,1.1425366114665287,0.0788221139950633,0.04164096274584628,0.040791660733376416,0.04777202613010242,
service,weekly,pales_in,model_p80,1,2024-11-11,2024-12-30,0.36152348805416734,1.1406785950623752,0.11618273361530497,0.19871466358985554,0.18075529933967224,0.22797268543931604,
service,weekly,peso_facturable_in,naive_t7,1,2024-11-11,2024-12-30,2.0926413632070404,0.5990388328677688,0.608400209629099,2.568911995749687,1.1245180463705424,2.6492144964886144,
service,weekly,peso_facturable_in,ma7,1,2024-11-11,2024-12-30,1.063646512454083,0.49491887552879316,0.30923729814677264,0.4260975005918273,0.35126164590490216,0.4394170284358105,
service,weekly,peso_facturable_in,ma28,1,2024-11-11,2024-12-30,1.793653496131735,0.6034450401705432,0.5214745260392465,0.8139747113600097,0.5785231175489925,0.8394190259058569,
service,weekly,peso_facturable_in,model_p50,1,2024-11-11,2024-12-30,0.17557038323972188,1.0556140837456498,0.051044130086393524,0.1659391062416996,0.18095266826355189,0.17112625365026715,
service,weekly,peso_facturable_in,model_p80,1,2024-11-11,2024-12-30,0.32386913760229885,1.1781812360942925,0.09415949367820048,0.09213285028843558,0.08807552567776326,0.09501286264020456,
service,weekly,conteo_servicios,naive_t7,2,2024-12-09,2026-01-19,1.6134969325153374,0.926090870148507,0.7390394265232976,0.1076923076923077,0.11382113821138211,0.1475268817204301,
service,weekly,conteo_servicios,ma7,2,2024-12-09,2026-01-19,1.258983347940403,0.8622556533634632,0.5766594982078852,0.5868131868131867,0.8304821150855364,0.8038709677419354,
service,weekly,conteo_servicios,ma28,2,2024-12-09,2026-01-19,1.8430105170902713,0.9999296220248536,0.8441648745519712,0.28076923076923077,0.24620573355817876,0.3846236559139785,
service,weekly,conteo_servicios,model_p50,2,2024-12-09,2026-01-19,0.3615935978448693,0.5448226246267829,0.16562282815695892,0.04410912342391636,0.04510386949719025,0.060424756174268214,
service,weekly,conteo_servicios,model_p80,2,2024-12-09,2026-01-19,0.3831805611256655,0.5756093250144081,0.17551043106584607,0.010260651373987283,0.010313563312775248,0.014055989086515912,
service,weekly,m3_out,naive_t7,2,2024-12-09,2026-01-19,2.7110930586283186,0.9154405546173124,0.5930874091378463,0.26532007458048473,0.3059008992870194,0.24212703769862223,
