fecha,eventos_entrega_p50,eventos_entrega_p80,m3_out_p50,m3_out_p80,pales_out_p50,pales_out_p80,cajas_out_p50,cajas_out_p80,peso_facturable_out_p50,peso_facturable_out_p80,eventos_recogida_p50,eventos_recogida_p80,m3_in_p50,m3_in_p80,pales_in_p50,pales_in_p80,cajas_in_p50,cajas_in_p80,peso_facturable_in_p50,peso_facturable_in_p80,picking_movs_esperados_p50,picking_movs_esperados_p80,inbound_recepcion_pales_esperados_p50,inbound_recepcion_pales_esperados_p80,inbound_recepcion_cr_esperados_p50,inbound_recepcion_cr_esperados_p80,inbound_ubicacion_cajas_esperados_p50,inbound_ubicacion_cajas_esperados_p80,inbound_ubicacion_ep_esperados_p50,inbound_ubicacion_ep_esperados_p80,inbound_m3_esperados_p50,inbound_m3_esperados_p80,picking_movs_no_atribuibles_p50,picking_movs_no_atribuibles_p80
2026-04-10,23.0,35.0,51.46774491279383,84.99881184511784,47.0,99.0,41.0,59.0,15130.099322560545,31066.041470970882,9.0,12.0,10.946704403842157,13.409230092644318,11.0,22.0,6.0,13.0,2836.687880917378,10666.723390092073,44.0,81.0,10.0,18.0,24.244781310334883,57.65311171445278,6.0,12.0,16.758802574275713,45.02625062042923,8.193394068762803,15.227508930163516,3.0,26.0
2026-04-11,4.0,5.0,6.709814769676479,14.016167674421515,5.0,15.0,5.0,9.0,3066.341491211904,9714.730317841158,4.0,5.0,10.45729800844843,23.503865120772694,6.0,21.0,3.0,7.0,3645.9430486315646,11020.583693745984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2026-04-12,3.0,4.0,5.298688402976295,13.430948206690317,4.0,12.0,2.0,4.0,1896.8999150754794,5610.447834347316,4.0,5.0,9.991638795683903,19.682744824389367,13.0,27.0,3.0,7.0,3886.5299346689226,12550.73686487953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-04-13,24.0,31.0,38.36438989732666,66.65982237739185,40.0,76.0,36.0,60.0,8539.982963190889,20658.4214804526,12.0,15.0,23.401709869264604,36.52535903116627,31.0,67.0,12.0,22.0,9341.502881041546,24076.242484328617,18.0,87.0,34.0,72.0,66.34895116584364,201.2119233368872,16.0,31.0,57.51832770504879,164.27186011040524,31.776546144006034,55.69081493284121,1.0,14.0
2026-04-14,22.0,31.0,43.146861055066964,74.79589070270005,42.0,76.0,37.0,69.0,10743.673098208892,20285.661035391826,7.0,12.0,14.334259576463648,17.23513135501387,11.0,31.0,9.0,15.0,4682.146790631951,9245.796822384866,35.0,72.0,16.0,38.0,19.852258506663706,67.59538647155705,7.0,12.0,22.624739134682013,69.7529564961091,15.215918917348603,25.818753608277987,2.0,20.0
2026-04-15,22.0,32.0,43.75688325067622,78.06769443426616,48.0,91.0,45.0,71.0,18127.118152524206,25137.89972273672,7.0,12.0,14.615347801265656,21.094716375599663,17.0,41.0,10.0,16.0,4565.4706522795495,9782.071699912234,37.0,98.0,16.0,37.0,19.256061409014766,50.13444632452838,7.0,13.0,22.161145989255168,56.32176087822414,14.411544219548722,21.898142846167417,3.0,20.0
2026-04-16,24.0,35.0,46.68346936704733,80.23200553247797,52.0,106.0,46.0,67.0,20176.566085696733,32512.04069391065,8.0,13.0,15.780008176488195,20.319214187346226,19.0,40.0,11.0,16.0,5081.679694736475,11247.264611971492,39.0,91.0,21.0,48.0,28.141992138358443,72.82032160204086,11.0,18.0,28.64830868507642,73.14069068962563,17.707824281374037,25.446258476723962,5.0,22.0
2026-04-17,24.0,37.0,53.679061783931175,86.53740804741071,58.0,129.0,48.0,70.0,22993.533435740486,37493.359322451084,9.0,15.0,16.692695104332692,20.882366650847025,19.0,38.0,11.0,18.0,5404.974417010067,11748.910314626555,49.0,86.0,16.0,37.0,29.647053954499427,70.9474375693231,9.0,15.0,21.268524209861905,57.91576784118895,15.285055394701413,19.527618325132032,3.0,18.0
2026-04-18,4.0,7.0,7.096339191662327,17.06984906671127,10.0,34.0,6.0,11.0,7447.338397581772,14984.413139825692,4.0,7.0,12.11737137547703,19.759286302581586,13.0,31.0,5.0,8.0,5140.2252962555285,9694.168877332884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-04-19,3.0,6.0,5.594025408699401,13.81179226977629,7.0,24.0,3.0,5.0,6527.55089392384,9442.421000556373,4.0,7.0,11.69481455551121,19.732487863855923,17.0,36.0,5.0,9.0,5279.6357870261645,14536.140689383901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
