axis,freq,target,model,fold_id,fold_start,fold_end,wape,smape,mase,empirical_coverage_p80,pinball_loss_p50,pinball_loss_p80,wape_peak5,smape_peak5,mase_peak5,coverage_empirical
workload,daily,picking_movs_no_atribuibles,model_p50,1,2024-11-16,2024-12-13,0.31595729047812615,0.9916472116729159,0.09665317841971846,,0.7052618091029601,,0.035706405962813825,0.03752803058326774,0.04404072109868388,
workload,daily,picking_movs_no_atribuibles,model_p80,1,2024-11-16,2024-12-13,0.9335788548067321,1.199374589893204,0.28558721808876386,0.9285714285714286,,0.8423377178129743,0.0028434346304873318,0.002685671265682075,0.0035071273108261995,
workload,daily,conteo_movimientos,naive_t7,2,2024-12-14,2026-01-10,0.7653806047966631,1.0240682100329066,0.8065508455644016,,39.32142857142857,,0.22122762148337596,0.25271758496514196,0.887132673913252,
workload,daily,conteo_movimientos,ma7,2,2024-12-14,2026-01-10,1.0179750732409751,1.2563075726444184,1.0727325084284287,,52.298469387755105,,0.4061015710632079,0.5031200362161465,1.6284854947226748,
workload,daily,conteo_movimientos,ma28,2,2024-12-14,2026-01-10,1.315978946323055,1.2519997478849338,1.386766172607406,,67.60841836734694,,0.37792290829375236,0.4597869379802192,1.51548779451531,
workload,daily,conteo_movimientos,model_p50,2,2024-12-14,2026-01-10,0.05315535819903358,0.6242271450752723,0.056014613948963364,,2.7308565274753502,,0.02126503095715889,0.022563378087938655,0.08527372688536562,
workload,daily,conteo_movimientos,model_p80,2,2024-12-14,2026-01-10,0.1430742381492504,0.9404832076928619,0.1507702795636135,0.9285714285714286,,3.0045278714372716,0.02126503095715889,0.022563378087938655,0.08527372688536562,
workload,daily,unidades_movidas,naive_t7,2,2024-12-14,2026-01-10,0.8654959803208988,1.1381997480263442,0.7090157578974919,,2596.047357142857,,0.31138977158550096,0.501894479670563,1.2319846508411616,
workload,daily,unidades_movidas,ma7,2,2024-12-14,2026-01-10,1.0042600179271406,1.21501489252811,0.8226914901127094,,3012.268831632653,,0.5265411321724812,0.7179281567809996,2.0832109852873173,
workload,daily,unidades_movidas,ma28,2,2024-12-14,2026-01-10,1.3360669063053454,1.2707507467661672,1.0945082492753064,,4007.5205892857143,,0.5984146897157602,0.8503683903870067,2.3675720265759055,
workload,daily,unidades_movidas,model_p50,2,2024-12-14,2026-01-10,0.39055089438450424,1.0419707933327655,0.3199399473546997,,1171.4538718259016,,0.45637198440558574,0.5888243575695572,1.8055932826529069,
workload,daily,unidades_movidas,model_p80,2,2024-12-14,2026-01-10,0.3990622285198144,1.0511170841712556,0.3269124465457743,0.8571428571428571,,800.3236148076493,0.2358275567156452,0.24206650105223299,0.9330297801360936,
workload,daily,skus_distintos,naive_t7,2,2024-12-14,2026-01-10,0.7777777777777778,0.9642631276736424,1.3504769496838351,,23.375,,0.25727069351230425,0.26155939751956203,1.6610144300924177,
workload,daily,skus_distintos,ma7,2,2024-12-14,2026-01-10,1.0943043884220356,1.323624306517894,1.9000708103594899,,32.88775510204082,,0.4157877916267178,0.5173508950422087,2.6844469236648885,
workload,daily,skus_distintos,ma28,2,2024-12-14,2026-01-10,1.3405483405483407,1.336364930568834,2.3276309578038648,,40.288265306122454,,0.4824224992010227,0.6272543004256572,3.114659977918639,
workload,daily,skus_distintos,model_p50,2,2024-12-14,2026-01-10,0.3867496350141033,0.8450547094803019,0.6715240294952352,,11.623207780870285,,0.4531837598228668,0.5908004864147326,2.9258861717699585,
workload,daily,skus_distintos,model_p80,2,2024-12-14,2026-01-10,0.34250414739150886,1.1209398771947636,0.5946993722871612,0.6785714285714286,,12.727091942232912,0.38187298711673856,0.47228710876689406,2.465483080889906,
workload,daily,workload_atribuible_movs,naive_t7,2,2024-12-14,2026-01-10,1.1224489795918366,0.7784087618075801,0.5788086815559595,,11.785714285714286,,0.4126984126984127,0.3310104529616725,0.9576652731198604,
workload,daily,workload_atribuible_movs,ma7,2,2024-12-14,2026-01-10,1.2349368318756073,1.4329398598848289,0.6368148329759615,,12.966836734693876,,0.35752078609221466,0.4369876389180833,0.8296257768968753,
workload,daily,workload_atribuible_movs,ma28,2,2024-12-14,2026-01-10,1.8819849368318757,1.3830247120616388,0.9704754869053792,,19.760841836734695,,0.12414965986394562,0.13244351182369576,0.28808886650171633,
workload,daily,workload_atribuible_movs,model_p50,2,2024-12-14,2026-01-10,0.3574779363539192,1.3456440358584376,0.18433918760530005,,3.7535183317161516,,0.19101060433699937,0.17198697785715805,0.4432394623840181,
workload,daily,workload_atribuible_movs,model_p80,2,2024-12-14,2026-01-10,0.6791532676135166,1.4352244511210936,0.3502161920488775,1.0,,2.852443723976769,0.33534176028694973,0.28401688289034005,0.7781594224070336,
