fecha,process,driver,driver_forecast_p50,driver_forecast_p80,productivity_estandar,allowance_pct,setup_hours,shift_hours,utilization_effective,horas_requeridas_p50,horas_requeridas_p80,fte_requeridos_p50,fte_requeridos_p80
2026-04-07,picking_out,picking_movs_esperados,25.0,63.0,120.0,0.15,0.5,8.0,0.85,0.7395833333333333,1.10375,0.10876225490196077,0.16231617647058824
2026-04-08,inbound_recepcion,inbound_recepcion_cr_esperados,7.932001561149463,24.911100631723297,22.0,0.12,0.25,8.0,0.85,0.6538109885676091,1.5182014867059133,0.09614867478935428,0.22326492451557547
2026-04-08,inbound_ubicacion,inbound_ubicacion_ep_esperados,8.658537360861724,28.5925254391305,28.0,0.12,0.25,8.0,0.85,0.5963414944344689,1.3937010175652202,0.08769727859330426,0.20495603199488532
2026-04-08,no_atribuible,picking_movs_no_atribuibles,1.0,18.0,100.0,0.15,0.25,8.0,0.85,0.2615,0.45699999999999996,0.03845588235294118,0.06720588235294117
2026-04-08,picking_out,picking_movs_esperados,30.0,92.0,120.0,0.15,0.5,8.0,0.85,0.7875,1.3816666666666668,0.11580882352941177,0.20318627450980395
2026-04-09,inbound_recepcion,inbound_recepcion_cr_esperados,11.72700801369561,37.70075617998234,22.0,0.12,0.25,8.0,0.85,0.8470113170608674,2.169311223708192,0.12456048780306873,0.3190163564276753
2026-04-09,inbound_ubicacion,inbound_ubicacion_ep_esperados,9.226135867319005,40.33019797408963,28.0,0.12,0.25,8.0,0.85,0.6190454346927603,1.8632079189635853,0.09103609333717064,0.27400116455346846
2026-04-09,no_atribuible,picking_movs_no_atribuibles,1.0,22.0,100.0,0.15,0.25,8.0,0.85,0.2615,0.503,0.03845588235294118,0.07397058823529412
2026-04-09,picking_out,picking_movs_esperados,16.0,76.0,120.0,0.15,0.5,8.0,0.85,0.6533333333333333,1.2283333333333333,0.09607843137254903,0.18063725490196078
2026-04-10,inbound_recepcion,inbound_recepcion_cr_esperados,14.620052732573091,44.07293139738861,22.0,0.12,0.25,8.0,0.85,0.9942935936582665,2.4937128711397842,0.14621964612621566,0.3667224810499683
2026-04-10,inbound_ubicacion,inbound_ubicacion_ep_esperados,8.136166436031129,37.61941967134612,28.0,0.12,0.25,8.0,0.85,0.5754466574412451,1.7547767868538449,0.08462450844724194,0.25805540983144776
2026-04-10,no_atribuible,picking_movs_no_atribuibles,1.0,23.0,100.0,0.15,0.25,8.0,0.85,0.2615,0.5145,0.03845588235294118,0.07566176470588235
2026-04-10,picking_out,picking_movs_esperados,24.0,71.0,120.0,0.15,0.5,8.0,0.85,0.73,1.1804166666666667,0.10735294117647058,0.1735906862745098
2026-04-11,inbound_recepcion,inbound_recepcion_cr_esperados,0.0,0.0,22.0,0.12,0.25,8.0,0.85,0.25,0.25,0.03676470588235294,0.03676470588235294
2026-04-11,inbound_ubicacion,inbound_ubicacion_ep_esperados,0.0,0.0,28.0,0.12,0.25,8.0,0.85,0.25,0.25,0.03676470588235294,0.03676470588235294
2026-04-11,no_atribuible,picking_movs_no_atribuibles,0.0,2.0,100.0,0.15,0.25,8.0,0.85,0.25,0.273,0.03676470588235294,0.04014705882352942
2026-04-11,picking_out,picking_movs_esperados,0.0,0.0,120.0,0.15,0.5,8.0,0.85,0.5,0.5,0.07352941176470588,0.07352941176470588
2026-04-12,inbound_recepcion,inbound_recepcion_cr_esperados,0.0,0.0,22.0,0.12,0.25,8.0,0.85,0.25,0.25,0.03676470588235294,0.03676470588235294
2026-04-12,inbound_ubicacion,inbound_ubicacion_ep_esperados,0.0,0.0,28.0,0.12,0.25,8.0,0.85,0.25,0.25,0.03676470588235294,0.03676470588235294
2026-04-12,no_atribuible,picking_movs_no_atribuibles,0.0,1.0,100.0,0.15,0.25,8.0,0.85,0.25,0.2615,0.03676470588235294,0.03845588235294118
2026-04-12,picking_out,picking_movs_esperados,0.0,0.0,120.0,0.15,0.5,8.0,0.85,0.5,0.5,0.07352941176470588,0.07352941176470588
2026-04-13,inbound_recepcion,inbound_recepcion_cr_esperados,42.48436361904099,143.89580257512168,22.0,0.12,0.25,8.0,0.85,2.4128403296966323,7.575604494733468,0.35482946024950474,1.1140594845196277
2026-04-13,inbound_ubicacion,inbound_ubicacion_ep_esperados,30.095329023462693,123.58071429787998,28.0,0.12,0.25,8.0,0.85,1.4538131609385079,5.1932285719152,0.21379605307919233,0.7637100841051765
2026-04-13,no_atribuible,picking_movs_no_atribuibles,1.0,8.0,100.0,0.15,0.25,8.0,0.85,0.2615,0.34199999999999997,0.03845588235294118,0.05029411764705882
2026-04-13,picking_out,picking_movs_esperados,16.0,85.0,120.0,0.15,0.5,8.0,0.85,0.6533333333333333,1.3145833333333332,0.09607843137254903,0.19332107843137253
2026-04-14,inbound_recepcion,inbound_recepcion_cr_esperados,11.554337226147458,45.646158129784084,22.0,0.12,0.25,8.0,0.85,0.8382208042402343,2.573804413879917,0.12326776532944622,0.3785006490999878
2026-04-14,inbound_ubicacion,inbound_ubicacion_ep_esperados,12.274703673243982,49.64465645445182,28.0,0.12,0.25,8.0,0.85,0.7409881469297593,2.2357862581780727,0.10896884513672932,0.32879209679089305
2026-04-14,no_atribuible,picking_movs_no_atribuibles,1.0,12.0,100.0,0.15,0.25,8.0,0.85,0.2615,0.388,0.03845588235294118,0.057058823529411766
2026-04-14,picking_out,picking_movs_esperados,31.0,68.0,120.0,0.15,0.5,8.0,0.85,0.7970833333333334,1.1516666666666666,0.11721813725490197,0.16936274509803922
2026-04-15,inbound_recepcion,inbound_recepcion_cr_esperados,11.218980394227131,35.27411828293654,22.0,0.12,0.25,8.0,0.85,0.8211480927970176,2.045773294404042,0.12075707247014965,0.3008490138829474
2026-04-15,inbound_ubicacion,inbound_ubicacion_ep_esperados,12.427421871282153,41.00393919766194,28.0,0.12,0.25,8.0,0.85,0.7470968748512861,1.890157567906478,0.1098671874781303,0.27796434822154087
2026-04-15,no_atribuible,picking_movs_no_atribuibles,1.0,16.0,100.0,0.15,0.25,8.0,0.85,0.2615,0.434,0.03845588235294118,0.06382352941176471
2026-04-15,picking_out,picking_movs_esperados,33.0,95.0,120.0,0.15,0.5,8.0,0.85,0.8162499999999999,1.4104166666666664,0.12003676470588234,0.20741421568627447
2026-04-16,inbound_recepcion,inbound_recepcion_cr_esperados,15.808850605682718,52.52218191054024,22.0,0.12,0.25,8.0,0.85,1.0548142126529383,2.9238565336275038,0.15511973715484387,0.4299789020040447
2026-04-16,inbound_ubicacion,inbound_ubicacion_ep_esperados,13.80383519014071,59.111720947354776,28.0,0.12,0.25,8.0,0.85,0.8021534076056285,2.6144688378941914,0.11796373641259243,0.38448071145502816
2026-04-16,no_atribuible,picking_movs_no_atribuibles,1.0,15.0,100.0,0.15,0.25,8.0,0.85,0.2615,0.4225,0.03845588235294118,0.06213235294117647
2026-04-16,picking_out,picking_movs_esperados,19.0,79.0,120.0,0.15,0.5,8.0,0.85,0.6820833333333334,1.257083333333333,0.10030637254901961,0.18486519607843135
2026-04-17,inbound_recepcion,inbound_recepcion_cr_esperados,17.18556445079694,52.13488356525412,22.0,0.12,0.25,8.0,0.85,1.1249014629496625,2.904139526958392,0.16542668572789154,0.4270793421997635
2026-04-17,inbound_ubicacion,inbound_ubicacion_ep_esperados,9.646870784778706,44.826955842125386,28.0,0.12,0.25,8.0,0.85,0.6358748313911482,2.0430782336850157,0.09351100461634533,0.300452681424267
2026-04-17,no_atribuible,picking_movs_no_atribuibles,1.0,11.0,100.0,0.15,0.25,8.0,0.85,0.2615,0.3765,0.03845588235294118,0.05536764705882353
2026-04-17,picking_out,picking_movs_esperados,31.0,78.0,120.0,0.15,0.5,8.0,0.85,0.7970833333333334,1.2475,0.11721813725490197,0.1834558823529412
2026-04-18,inbound_recepcion,inbound_recepcion_cr_esperados,0.0,0.0,22.0,0.12,0.25,8.0,0.85,0.25,0.25,0.03676470588235294,0.03676470588235294
2026-04-18,inbound_ubicacion,inbound_ubicacion_ep_esperados,0.0,0.0,28.0,0.12,0.25,8.0,0.85,0.25,0.25,0.03676470588235294,0.03676470588235294
2026-04-18,no_atribuible,picking_movs_no_atribuibles,0.0,1.0,100.0,0.15,0.25,8.0,0.85,0.25,0.2615,0.03676470588235294,0.03845588235294118
2026-04-18,picking_out,picking_movs_esperados,0.0,0.0,120.0,0.15,0.5,8.0,0.85,0.5,0.5,0.07352941176470588,0.07352941176470588
2026-04-19,inbound_recepcion,inbound_recepcion_cr_esperados,0.0,0.0,22.0,0.12,0.25,8.0,0.85,0.25,0.25,0.03676470588235294,0.03676470588235294
2026-04-19,inbound_ubicacion,inbound_ubicacion_ep_esperados,0.0,0.0,28.0,0.12,0.25,8.0,0.85,0.25,0.25,0.03676470588235294,0.03676470588235294
2026-04-19,no_atribuible,picking_movs_no_atribuibles,0.0,1.0,100.0,0.15,0.25,8.0,0.85,0.25,0.2615,0.03676470588235294,0.03845588235294118
2026-04-19,picking_out,picking_movs_esperados,0.0,0.0,120.0,0.15,0.5,8.0,0.85,0.5,0.5,0.07352941176470588,0.07352941176470588
2026-04-20,inbound_recepcion,inbound_recepcion_cr_esperados,52.085321251912546,181.28983745594502,22.0,0.12,0.25,8.0,0.85,2.9016163546428206,9.47930081593902,0.42670828744747363,1.3940148258733853
2026-04-20,inbound_ubicacion,inbound_ubicacion_ep_esperados,36.94836452028605,154.4465067732874,28.0,0.12,0.25,8.0,0.85,1.727934580811442,6.427860270931497,0.25410802658991793,0.9452735692546319
2026-04-20,no_atribuible,picking_movs_no_atribuibles,1.0,9.0,100.0,0.15,0.25,8.0,0.85,0.2615,0.3535,0.03845588235294118,0.05198529411764706
2026-04-20,picking_out,picking_movs_esperados,18.0,87.0,120.0,0.15,0.5,8.0,0.85,0.6725,1.3337499999999998,0.09889705882352941,0.1961397058823529
2026-04-21,inbound_recepcion,inbound_recepcion_cr_esperados,15.584304227334975,63.42255175076881,22.0,0.12,0.25,8.0,0.85,1.043382760664326,3.4787844527664125,0.1534386412741656,0.5115859489362371
2026-04-21,inbound_ubicacion,inbound_ubicacion_ep_esperados,16.514885670238847,68.6261588103571,28.0,0.12,0.25,8.0,0.85,0.910595426809554,2.9950463524142843,0.13391109217787558,0.44044799300210064
2026-04-21,no_atribuible,picking_movs_no_atribuibles,1.0,13.0,100.0,0.15,0.25,8.0,0.85,0.2615,0.39949999999999997,0.03845588235294118,0.05875
2026-04-21,picking_out,picking_movs_esperados,37.0,74.0,120.0,0.15,0.5,8.0,0.85,0.8545833333333333,1.2091666666666665,0.12567401960784313,0.17781862745098037
