segment,antecedent,consequent,antecedent_size,consequent_size,support_itemset,confidence,lift,count_itemset,n_transactions
ALL,202068,022199|065072,1,2,0.008173016471771658,0.49618320610687017,32.61276891047883,65,7953
ALL,084099|204082,022199,2,1,0.005658242172764994,0.703125,32.51135537790698,45,7953
ALL,022199,084099|204082,1,2,0.005658242172764994,0.26162790697674415,32.51135537790697,45,7953
ALL,126105|204082,022199,2,1,0.007167106752168993,0.6867469879518072,31.754062762678622,57,7953
ALL,022199,126105|204082,1,2,0.007167106752168993,0.33139534883720934,31.754062762678622,57,7953
ALL,202068,022199|031149,1,2,0.00666415189236766,0.4045801526717557,31.54535249214189,53,7953
ALL,022199|031149,202068,2,1,0.00666415189236766,0.5196078431372548,31.545352492141888,53,7953
ALL,202068,022199,1,1,0.010813529485728656,0.6564885496183206,30.35496183206107,86,7953
ALL,022199,202068,1,1,0.010813529485728656,0.5,30.354961832061065,86,7953
ALL,012037,012019,1,1,0.00867597133157299,0.6969696969696969,29.8010752688172,69,7953
ALL,012019,012037,1,1,0.00867597133157299,0.3709677419354838,29.8010752688172,69,7953
ALL,202068|204082,022199,2,1,0.008173016471771658,0.6435643564356436,29.757368178678334,65,7953
ALL,022199,202068|204082,1,2,0.008173016471771658,0.37790697674418605,29.757368178678334,65,7953
ALL,011013|011014,011030,2,1,0.005406764742864328,0.7962962962962963,29.732133541992695,43,7953
ALL,011030,011013|011014,1,2,0.005406764742864328,0.20187793427230047,29.732133541992695,43,7953
ALL,065072|204082,022199,2,1,0.007795800326920659,0.6326530612244898,29.252847650688185,62,7953
ALL,022199,065072|204082,1,2,0.007795800326920659,0.3604651162790698,29.252847650688185,62,7953
ALL,031149,202068,1,1,0.00666415189236766,0.4818181818181818,29.251145038167937,53,7953
ALL,202068,031149,1,1,0.00666415189236766,0.4045801526717557,29.251145038167937,53,7953
ALL,016024,016010,1,1,0.00704136803721866,0.7887323943661972,28.64287092417519,56,7953
ALL,016010,016024,1,1,0.00704136803721866,0.2557077625570776,28.642870924175188,56,7953
ALL,204082,022199|126105,1,2,0.007167106752168993,0.38000000000000006,28.510754716981136,57,7953
ALL,022199|126105,204082,2,1,0.007167106752168993,0.5377358490566038,28.510754716981133,57,7953
ALL,012012|012040,012037,2,1,0.005406764742864328,0.34400000000000003,27.63466666666667,43,7953
ALL,012037,012012|012040,1,2,0.005406764742864328,0.43434343434343436,27.634666666666668,43,7953
ALL,087002,087004,1,1,0.013202565069784986,0.7046979865771812,27.60819254802129,105,7953
ALL,087004,087002,1,1,0.013202565069784986,0.5172413793103448,27.608192548021286,105,7953
ALL,022199|084099,204082,2,1,0.005658242172764994,0.5172413793103448,27.42413793103448,45,7953
ALL,204082,022199|084099,1,2,0.005658242172764994,0.3,27.42413793103448,45,7953
ALL,018072,018086,1,1,0.0061611970325663274,0.21212121212121213,27.20967741935484,49,7953
ALL,018086,018072,1,1,0.0061611970325663274,0.7903225806451613,27.209677419354836,49,7953
ALL,022053,032040,1,1,0.014837168364139319,0.5841584158415842,27.168490533263856,118,7953
ALL,032040,022053,1,1,0.014837168364139319,0.6900584795321637,27.168490533263853,118,7953
ALL,022199|065072,204082,2,1,0.007795800326920659,0.5123966942148761,27.16727272727273,62,7953
ALL,204082,022199|065072,1,2,0.007795800326920659,0.4133333333333334,27.16727272727273,62,7953
ALL,204082,022199,1,1,0.01093926820067899,0.5800000000000001,26.818255813953492,87,7953
ALL,022199,204082,1,1,0.01093926820067899,0.5058139534883721,26.81825581395349,87,7953
ALL,012012|012037,012040,2,1,0.005406764742864328,0.5972222222222222,26.534683426443202,43,7953
ALL,012040,012012|012037,1,2,0.005406764742864328,0.24022346368715083,26.534683426443202,43,7953
ALL,012019|012037,012040,2,1,0.005029548598013328,0.5797101449275363,25.756618897255283,40,7953
ALL,012040,012019|012037,1,2,0.005029548598013328,0.22346368715083798,25.756618897255283,40,7953
ALL,031149|126105,084099,2,1,0.006538413177417327,0.8125000000000001,24.757902298850578,52,7953
ALL,011014|011030,011013,2,1,0.005406764742864328,0.3161764705882353,24.413121073672187,43,7953
ALL,011013,011014|011030,1,2,0.005406764742864328,0.4174757281553398,24.413121073672183,43,7953
ALL,012012|012040,012019,2,1,0.00867597133157299,0.5519999999999999,23.602451612903224,69,7953
ALL,012019,012012|012040,1,2,0.00867597133157299,0.3709677419354838,23.602451612903224,69,7953
ALL,011013,011030,1,1,0.008047277756821325,0.6213592233009708,23.20032818268836,64,7953
ALL,011030,011013,1,1,0.008047277756821325,0.30046948356807507,23.20032818268836,64,7953
ALL,031149|065072,084099,2,1,0.00704136803721866,0.7567567567567568,23.059335197266233,56,7953
ALL,084099,031149|065072,1,2,0.00704136803721866,0.21455938697318008,23.059335197266233,56,7953
ALL,012037,012040,1,1,0.006412674462466994,0.5151515151515152,22.888268156424584,51,7953
ALL,012040,012037,1,1,0.006412674462466994,0.2849162011173184,22.88826815642458,51,7953
ALL,087004,169003,1,1,0.00590971960266566,0.23152709359605908,22.732530560116764,47,7953
ALL,169003,087004,1,1,0.00590971960266566,0.5802469135802468,22.73253056011676,47,7953
ALL,202044,204000,1,1,0.0067898906073179935,0.8437500000000001,22.367812500000003,54,7953
ALL,204000,202022,1,1,0.016220294228592985,0.43000000000000005,22.206428571428575,129,7953
ALL,202022,204000,1,1,0.016220294228592985,0.8376623376623377,22.20642857142857,129,7953
ALL,022199|031149,204082,2,1,0.005281026027913994,0.4117647058823529,21.831764705882353,42,7953
ALL,204082,022199|031149,1,2,0.005281026027913994,0.27999999999999997,21.83176470588235,42,7953
ALL,011009,011030,1,1,0.005281026027913994,0.5833333333333333,21.780516431924877,42,7953
ALL,022199|126105,084099,2,1,0.00943040362127499,0.7075471698113207,21.55985686402082,75,7953
ALL,084099,022199|126105,1,2,0.00943040362127499,0.28735632183908044,21.55985686402082,75,7953
ALL,018071,018073,1,1,0.0061611970325663274,0.49000000000000005,21.53022099447514,49,7953
ALL,018073,018071,1,1,0.0061611970325663274,0.27071823204419887,21.530220994475137,49,7953
ALL,011104|014014,011105,2,1,0.00704136803721866,0.7000000000000001,21.41192307692308,56,7953
ALL,011105,011104|014014,1,2,0.00704136803721866,0.2153846153846154,21.411923076923078,56,7953
ALL,022043|202022,204000,2,1,0.005155287312963662,0.803921568627451,21.311960784313726,41,7953
ALL,129079,084099|126105,1,2,0.008424493901672325,0.5317460317460317,21.251136635558744,67,7953
