segment,antecedent,consequent,antecedent_size,consequent_size,support_itemset,confidence,lift,count_itemset,n_transactions
ALL,031006,022009,1,1,0.010310574625927323,0.7735849056603774,54.93143530997305,82,7953
ALL,124235,015171,1,1,0.009681881051175657,0.9871794871794871,51.65156882591093,77,7953
ALL,015171,124235,1,1,0.009681881051175657,0.506578947368421,51.65156882591092,77,7953
ALL,093002,143022,1,1,0.005406764742864328,0.6515151515151515,51.3019801980198,43,7953
ALL,143022,093002,1,1,0.005406764742864328,0.42574257425742573,51.3019801980198,43,7953
ALL,204051,201026,1,1,0.008298755186721992,0.6666666666666667,49.55140186915888,66,7953
ALL,201026,204051,1,1,0.008298755186721992,0.616822429906542,49.55140186915888,66,7953
ALL,022199|084099,031149,2,1,0.0074185841820696595,0.67816091954023,49.03103448275863,59,7953
ALL,031149,022199|084099,1,2,0.0074185841820696595,0.5363636363636364,49.03103448275862,59,7953
ALL,084099|204082,202068,2,1,0.00628693574751666,0.78125,47.42962786259542,50,7953
ALL,202068,084099|204082,1,2,0.00628693574751666,0.38167938931297707,47.42962786259542,50,7953
ALL,031149|202068,022199,2,1,0.00666415189236766,1.0,46.23837209302326,53,7953
ALL,022199,031149|202068,1,2,0.00666415189236766,0.3081395348837209,46.23837209302326,53,7953
ALL,022199|204082,202068,2,1,0.008173016471771658,0.7471264367816092,45.357988944459066,65,7953
ALL,202068,022199|204082,1,2,0.008173016471771658,0.49618320610687017,45.35798894445906,65,7953
ALL,014000,014030,1,1,0.006035458317615994,0.6486486486486487,45.25177809388336,48,7953
ALL,014030,014000,1,1,0.006035458317615994,0.42105263157894735,45.25177809388336,48,7953
ALL,031149|204082,022199,2,1,0.005281026027913994,0.9767441860465116,45.163061114115735,42,7953
ALL,022199,031149|204082,1,2,0.005281026027913994,0.2441860465116279,45.163061114115735,42,7953
ALL,084099|202068,204082,2,1,0.00628693574751666,0.847457627118644,44.932203389830505,50,7953
ALL,204082,084099|202068,1,2,0.00628693574751666,0.3333333333333333,44.932203389830505,50,7953
ALL,031149|084099,022199,2,1,0.0074185841820696595,0.9672131147540984,44.722359893252005,59,7953
ALL,022199,031149|084099,1,2,0.0074185841820696595,0.3430232558139535,44.722359893252,59,7953
ALL,126105|204082,202068,2,1,0.007670061611970326,0.7349397590361445,44.618136668812646,61,7953
ALL,202068,126105|204082,1,2,0.007670061611970326,0.465648854961832,44.618136668812646,61,7953
ALL,022199|202068,031149,2,1,0.00666415189236766,0.6162790697674418,44.556976744186045,53,7953
ALL,031149,022199|202068,1,2,0.00666415189236766,0.4818181818181818,44.556976744186045,53,7953
ALL,031149|126105,022199,2,1,0.007670061611970326,0.9531250000000001,44.070948401162795,61,7953
ALL,022199,031149|126105,1,2,0.007670061611970326,0.3546511627906977,44.070948401162795,61,7953
