pedido_id,n_propietarios_distintos,n_lineas_pi_totales,n_skus_distintos_totales,proxy_recorridos,penalty_ratio,is_multi_propietario
SGE202206717,3,10,10,3,3.0,1
SGE202207977,3,10,8,3,3.0,1
SGE202208082,3,10,10,3,3.0,1
SGE202208686,3,10,7,3,3.0,1
SGE202209207,3,10,8,3,3.0,1
SGE202209215,3,10,9,3,3.0,1
SGE202210224,3,10,8,3,3.0,1
SGE202210545,3,10,8,3,3.0,1
SGE202312211,3,10,9,3,3.0,1
SGE202315657,3,10,8,3,3.0,1
SGE202316188,3,10,9,3,3.0,1
SGE202316694,3,10,9,3,3.0,1
SGE202418254,3,10,8,3,3.0,1
SGE202418858,3,10,7,3,3.0,1
SGE202418943,3,10,5,3,3.0,1
SGE202419549,3,10,9,3,3.0,1
SGE202420793,3,10,10,3,3.0,1
SGE202421090,3,10,8,3,3.0,1
SGE202625153,3,10,9,3,3.0,1
SGP202314952,3,10,10,3,3.0,1
SGP202316065,3,10,8,3,3.0,1
SGP202417886,3,10,10,3,3.0,1
SGP202420564,3,10,9,3,3.0,1
SGP202422282,3,10,2,3,3.0,1
SGE202206820,3,9,8,3,3.0,1
SGE202207838,3,9,8,3,3.0,1
SGE202208027,3,9,7,3,3.0,1
SGE202208172,3,9,8,3,3.0,1
SGE202208965,3,9,7,3,3.0,1
SGE202210129,3,9,8,3,3.0,1
SGE202210228,3,9,4,3,3.0,1
SGE202210236,3,9,6,3,3.0,1
SGE202315058,3,9,6,3,3.0,1
SGE202315290,3,9,7,3,3.0,1
SGE202315947,3,9,7,3,3.0,1
SGE202316799,3,9,8,3,3.0,1
SGE202420814,3,9,6,3,3.0,1
SGE202420956,3,9,6,3,3.0,1
SGE202421243,3,9,7,3,3.0,1
SGE202421764,3,9,4,3,3.0,1
SGE202423184,3,9,6,3,3.0,1
SGP202206630,3,9,8,3,3.0,1
SGE202206399,3,8,8,3,3.0,1
SGE202206569,3,8,8,3,3.0,1
SGE202206904,3,8,7,3,3.0,1
SGE202207501,3,8,6,3,3.0,1
SGE202207543,3,8,6,3,3.0,1
SGE202207981,3,8,6,3,3.0,1
SGE202208004,3,8,8,3,3.0,1
SGE202209485,3,8,8,3,3.0,1
SGE202209677,3,8,6,3,3.0,1
SGE202210160,3,8,7,3,3.0,1
SGE202210261,3,8,5,3,3.0,1
SGE202210297,3,8,4,3,3.0,1
SGE202311082,3,8,5,3,3.0,1
SGE202314913,3,8,7,3,3.0,1
SGE202315659,3,8,8,3,3.0,1
SGE202315837,3,8,5,3,3.0,1
SGE202315912,3,8,8,3,3.0,1
SGE202316049,3,8,8,3,3.0,1
SGE202316553,3,8,8,3,3.0,1
SGE202418287,3,8,6,3,3.0,1
SGE202418495,3,8,8,3,3.0,1
SGE202420048,3,8,8,3,3.0,1
SGE202420993,3,8,7,3,3.0,1
SGE202421056,3,8,8,3,3.0,1
SGE202421168,3,8,6,3,3.0,1
SGE202421214,3,8,8,3,3.0,1
SGE202422186,3,8,7,3,3.0,1
SGE202422767,3,8,6,3,3.0,1
SGE202423418,3,8,7,3,3.0,1
SGE202423668,3,8,7,3,3.0,1
SGE202624694,3,8,8,3,3.0,1
SGE202624996,3,8,8,3,3.0,1
SGP202315758,3,8,7,3,3.0,1
SGE202206771,3,7,7,3,3.0,1
SGE202207745,3,7,7,3,3.0,1
SGE202208047,3,7,7,3,3.0,1
SGE202311623,3,7,6,3,3.0,1
SGE202313113,3,7,5,3,3.0,1
SGE202313455,3,7,4,3,3.0,1
SGE202314857,3,7,7,3,3.0,1
SGE202314924,3,7,7,3,3.0,1
SGE202316630,3,7,7,3,3.0,1
SGE202417316,3,7,6,3,3.0,1
SGE202417800,3,7,6,3,3.0,1
SGE202418628,3,7,7,3,3.0,1
SGE202419018,3,7,4,3,3.0,1
SGE202420056,3,7,7,3,3.0,1
SGE202420599,3,7,6,3,3.0,1
SGE202421259,3,7,6,3,3.0,1
SGE202422060,3,7,6,3,3.0,1
SGE202422477,3,7,2,3,3.0,1
SGE202423610,3,7,4,3,3.0,1
SGP202206043,3,7,7,3,3.0,1
SGP202316953,3,7,7,3,3.0,1
SGP202422549,3,7,6,3,3.0,1
SGP202423020,3,7,5,3,3.0,1
SGE202207251,3,6,5,3,3.0,1
SGE202207486,3,6,5,3,3.0,1
SGE202209167,3,6,6,3,3.0,1
SGE202209180,3,6,6,3,3.0,1
SGE202312180,3,6,6,3,3.0,1
SGE202312212,3,6,3,3,3.0,1
