segment,sku,sku_name,transaction_count,ubicacion_mode,n_transactions,support,cluster_id,cluster_size,cluster_transaction_count
ALL,74P,POSTE DE PARRILLA CROMADO DE 1895MM,50,007-021-00,7953,0.00628693574751666,7,6559,40210
ALL,015181,LATA MAHOU LA DIABLA,49,015-143-20,7953,0.0061611970325663274,7,6559,40210
ALL,051204,LUMINOSO MAHOU TOTEM LOGO M,49,013-110-00,7953,0.0061611970325663274,7,6559,40210
ALL,091234,BARRA ROJA MAHOU 2024 CON LED ENCIMERA M,49,008-074-20,7953,0.0061611970325663274,7,6559,40210
ALL,012055,ALHAMBRA 50CL MIEL Y ROMERO (GRANADA),48,019-138-30,7953,0.006035458317615994,7,6559,40210
ALL,091045,BARRA 151x51x100 CERVEZAS  ALHAMBRA,48,012-060-00,7953,0.006035458317615994,7,6559,40210
ALL,146043,BOTIJO DECORACIÓN CRISTAL CLÁSICA,48,015-155-00,7953,0.006035458317615994,7,6559,40210
ALL,167002,BOTELLERO VERDE GÓNDOLA  SAN MIGUEL,48,009-027-40,7953,0.006035458317615994,7,6559,40210
ALL,204065,CONTRAPESO DE CARPA NEGRO (ALUXISOL),48,016-027-00,7953,0.006035458317615994,7,6559,40210
ALL,062016,COPA 30CL LOGO VERDE SAN MIGUEL,46,014-092-30,7953,0.005783980887715328,7,6559,40210
ALL,201027,LATERAL CARPA NEGRO 1890 MAHOU,45,015-041-00,7953,0.005658242172764994,7,6559,40210
ALL,014023,CERVEZA 25CL ALHAMBRA SIN LAGER SINGULAR,44,020-103-20,7953,0.005532503457814661,7,6559,40210
ALL,032088,TABURETE MADERA METALICO CERVEZAS  ALHAM,44,012-109-20,7953,0.005532503457814661,7,6559,40210
ALL,093010,TRASERA MÁRMOL CERVECEROS SAN MIGUEL,44,019-119-00,7953,0.005532503457814661,7,6559,40210
ALL,041068,ESTANTERIA/TRASERA DORADA MAHOU 1890,43,014-010-00,7953,0.005406764742864328,7,6559,40210
ALL,061010,COPA 33CL LOGO NEGRO BARRICA MAHOU 2018,43,014-016-10,7953,0.005406764742864328,7,6559,40210
ALL,071009,VASO CRISTAL 40CL LOGO NEGRO  SOLAN,43,014-022-10,7953,0.005406764742864328,7,6559,40210
ALL,012054,ALHAMBRA 50CL GRANADA BOTANICOS,42,015-039-09,7953,0.005281026027913994,7,6559,40210
ALL,017012,REFRESCO 33CL SOLAN VITAL PACK 24UND,42,015-061-10,7953,0.005281026027913994,7,6559,40210
ALL,011127,CERVEZA 33CL MAHOU RESERVA,41,015-087-20,7953,0.005155287312963662,7,6559,40210
ALL,012056,ALHAMBRA 50CL GRANADA ROSAS,41,019-124-10,7953,0.005155287312963662,7,6559,40210
ALL,019056,"SANGRIA ECO NARANJA, CANELA 33CL",41,,7953,0.005155287312963662,7,6559,40210
ALL,019057,"SANGRIA  YUZU,HIBISCUS Y VAINILLA 33CL",41,,7953,0.005155287312963662,7,6559,40210
ALL,142002,PLANTA ARTIFICIAL MOD.7,41,012-055-06,7953,0.005155287312963662,7,6559,40210
ALL,083116,EXPOSITOR FRUTAS/CONDIMENTOS SOLAN GAS,40,013-083-40,7953,0.005029548598013328,7,6559,40210
ALL,022181,MESA CUADRADA NEGRA 73X67 CM,39,008-043-40,7953,0.004903809883062995,7,6559,40210
